char_no	character	location	singular/plural
129488	Captain Wentworth/Frederick Wentworth	Kellynch	singular
130895	Charles Hayter	Uppercross	singular
133689	Anne	Kellynch	singular
134293	Mr Musgrove/Charles/Charles Musgrove	Uppercross/the Cottage	singular
134333	Mary	Uppercross/the Cottage	singular
136923	Mary	Uppercross/the Cottage/room/the room	singular
136923	Anne	Uppercross/the Cottage/room/the room	singular
140870	Captain Wentworth/Frederick Wentworth	Uppercross/the Cottage/drawing-room	singular
140954	Anne	Uppercross/the Cottage/drawing-room	singular
140954	Charles/little Charles	Uppercross/the Cottage/drawing-room	singular
142208	Charles Hayter	Uppercross/the Cottage/drawing-room	singular
144681	Miss Musgroves	Uppercross/the Cottage/drawing-room	plural
