char_no	character	location	singular/plural
92450	Captain Wentworth	Kellynch	singular
92605	Mr Musgrove	Uppercross/the Cottage	singular
92957	Anne	Uppercross/the Cottage	singular
93221	Mary	Uppercross/the Cottage	singular
93292	Captain Wentworth	Uppercross/the Cottage	singular
93398	the eldest boy	Uppercross/the Cottage	singular
93852	the father/Mr Musgrove	Uppercross/the Cottage	singular
93899	the mother/Mary	Uppercross/the Cottage	singular
93924	the servants	Uppercross/the Cottage	plural
93956	the youngest child	Uppercross/the Cottage	singular
94335	the apothecary	Uppercross/the Cottage	singular
94677	Mr Robinson/the apothecary	Uppercross/the Cottage	singular
94927	the two young aunts	Uppercross/the Cottage	plural
97552	Mr Musgrove's father/the father/Mr Musgrove	Uppercross/the Great House	singular
98355	Mary	the room/Uppercross/the Cottage	singular
98355	Mr Musgrove/Charles/Charles Musgrove	the room/Uppercross/the Cottage	singular
98403	Anne	the room/Uppercross/the Cottage	singular
100331	Jemima	Uppercross/the Cottage	singular
101934	Mr Musgrove/Charles/Charles Musgrove	dressing-room/Uppercross/the Cottage	singular
101934	Mary	dressing-room/Uppercross/the Cottage	singular
101934	Anne	dressing-room/Uppercross/the Cottage	singular
103442	Frederick Wentworth/Captain Wentworth	half a mile distant/Uppercross	singular
105126	Mary and Anne	Uppercross/the Cottage	plural
105126	Mr Musgrove/Charles/Charles Musgrove	Uppercross/the Cottage	singular
105842	the others	Uppercross/the Cottage	plural
106040	Captain Wentworth/Frederick Wentworth	Uppercross/the Cottage	singular
106040	Mary	Uppercross/the Cottage	singular
106040	Miss Musgroves	Uppercross/the Cottage	plural
